iter	MultiClass
0	1.059696416
1	1.026793967
2	1.00047695
3	0.9781987083
4	0.9591650395
5	0.9419908927
6	0.9269041117
7	0.9117917249
8	0.8987828853
9	0.8867696108
10	0.8768925547
11	0.8651777883
12	0.8546186271
13	0.8425613233
14	0.8329504218
15	0.8208246741
16	0.8123254578
17	0.8009428431
18	0.7933965585
19	0.7866121912
20	0.7801499333
21	0.7741532277
22	0.769032115
23	0.7644798554
24	0.7562029613
25	0.7509494337
26	0.746229763
27	0.7412413662
28	0.736923855
29	0.7308835465
30	0.7253492995
31	0.7213644057
32	0.7143229447
33	0.7108260154
34	0.7061517364
35	0.702984394
36	0.6998969408
37	0.696037663
38	0.6919635895
39	0.687553707
40	0.6838937931
41	0.6802176916
42	0.6766025931
43	0.674047319
44	0.6719120755
45	0.6679937067
46	0.6648569999
47	0.6624263641
48	0.6584728558
49	0.6550138366
50	0.6520244306
51	0.6487192892
52	0.6457056823
53	0.6432368996
54	0.6400466539
55	0.6378314227
56	0.634312717
57	0.6310952559
58	0.6286596495
59	0.6257727777
60	0.6241920559
61	0.6209891506
62	0.619479044
63	0.6164033958
64	0.6148331969
65	0.6132425413
66	0.6119766483
67	0.6098495758
68	0.6067204375
69	0.6036304644
70	0.6015837
71	0.5998780026
72	0.5986019149
73	0.5967094618
74	0.5947255736
75	0.5929240626
76	0.5913521817
77	0.5885159377
78	0.5858678552
79	0.5834682402
80	0.5821269519
81	0.5802276034
82	0.578882731
83	0.5771172286
84	0.5757719928
85	0.5732526421
86	0.5717393495
87	0.5692940555
88	0.5674025599
89	0.5654673941
90	0.5636308983
91	0.5626572412
92	0.561000503
93	0.5593964466
94	0.5576487599
95	0.5556332564
96	0.5534996437
97	0.5516231073
98	0.5496439263
99	0.5478105668
