iter	Passed	Remaining
0	158	15710
1	172	8436
2	185	5996
3	198	4757
4	211	4009
5	223	3506
6	236	3146
7	249	2868
8	262	2653
9	273	2465
10	286	2315
11	298	2189
12	311	2087
13	325	2000
14	338	1919
15	352	1849
16	365	1785
17	379	1727
18	392	1673
19	407	1630
20	420	1583
21	434	1538
22	449	1504
23	460	1459
24	473	1420
25	484	1379
26	496	1343
27	508	1307
28	520	1273
29	531	1239
30	542	1207
31	554	1179
32	568	1154
33	581	1128
34	593	1101
35	605	1076
36	616	1050
37	628	1025
38	640	1001
39	652	978
40	663	955
41	676	933
42	687	911
43	698	889
44	709	867
45	720	846
46	731	824
47	742	804
48	753	784
49	764	764
50	775	744
51	786	725
52	797	706
53	807	687
54	818	669
55	829	651
56	841	634
57	852	617
58	863	599
59	873	582
60	883	564
61	895	548
62	906	532
63	918	516
64	928	499
65	938	483
66	948	467
67	960	451
68	970	436
69	982	420
70	993	405
71	1003	390
72	1014	375
73	1023	359
74	1035	345
75	1045	330
76	1055	315
77	1066	300
78	1077	286
79	1089	272
80	1099	257
81	1110	243
82	1119	229
83	1130	215
84	1141	201
85	1152	187
86	1163	173
87	1174	160
88	1185	146
89	1195	132
90	1206	119
91	1216	105
92	1227	92
93	1237	79
94	1248	65
95	1259	52
96	1270	39
97	1282	26
98	1293	13
99	1305	0
